Sample ID;Sample # In Batch;Sample Name;Port;Volume (ml);Start Time;Attempt #;Cell Temp (C);H2O (‰);Initial Baseline (ppm);Final Baseline (ppm);Peak (ppm);Integration Time (sec);Area (net);Area (net avg);DIC (uM);Status;;Wait Btwn Repeat (s);Wait Btwn Sample (s);Flush Volume (ml);Pre-Acid Volume (ml);Acid Volume (ml);Injection Speed (sps);End Analysis - Criteria;End Analysis - Value;Precision;Standard Curve;Gas Flowrate
0001A-1-1;1A;;C (STD);1.200000;10/23/24  17:23:25;1;51.560000;3.812670;-23.962869;-23.117056;1055.140000;109.000646;15232.975235;15232.975235;2093.580000;Valid;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
0001B-1-1;1B;;C (STD);1.500000;10/23/24  17:28:18;1;51.560000;5.617790;-23.620944;-22.796469;1117.060000;108.001585;19107.296630;19107.296630;2093.580000;Valid;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
0001C-1-1;1C;;C (STD);1.800000;10/23/24  17:33:16;1;51.563400;6.024600;-23.395962;-22.549687;1101.260000;115.999788;22953.993165;22953.993165;2093.580000;Valid;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
0002S-1-1;2;C_1_8_2d;D;1.500000;10/23/24  17:39:00;1;51.560000;5.832420;-23.434962;-22.591294;1110.650000;110.000247;19859.407162;19859.407162;2175.447834;Valid;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
0003S-1-1;3;C_1_3_2d;E;1.500000;10/23/24  17:44:39;1;51.556700;5.923670;-23.528631;-22.686731;1125.650000;109.501312;19449.101400;19449.101400;2130.785723;Valid;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
0004S-1-1;4;C_2_7_2d;F;1.500000;10/23/24  17:50:16;1;51.560000;6.134300;-23.557550;-22.723019;1102.610000;116.498389;19452.364651;19452.364651;2131.140931;Valid;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
0005S-1-1;5;C_2_2_2d;G;1.500000;10/23/24  17:56:01;1;51.563400;5.969720;-23.508244;-21.944412;1098.470000;87.500618;19739.210411;19739.210411;2162.364321;Valid;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;Deviation;0.120000;0.00200+0.00000;Broken Line;220.000000
0006S-1-1;6;C_1_9_2d;H;1.500000;10/23/24  18:01:17;1;51.560000;6.336580;-23.507494;-22.670187;1119.320000;123.500632;19749.606011;19749.606011;2163.495891;Valid;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
0007S-1-1;7;C_1_4_2d;I;1.500000;10/23/24  18:07:08;1;51.556700;6.310180;-23.506162;-22.659819;1098.580000;110.001451;19730.982689;19730.982689;2161.468727;Valid;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
0008S-1-1;8;C_2_1_2d;J;1.500000;10/23/24  18:12:47;1;51.560000;6.380450;-23.559113;-22.732206;1126.180000;113.999846;19672.784013;19672.784013;2155.133755;Valid;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
