Project;Bryozoans;;;;;;;;;;;;
Memo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Sample ID;Sample Name;Time;Sample Volume (ml);HCl Concentration (M);Salinity;Temperature (C);Slope;R^2;End Volume (ml);Total Alkalinity (uM);Standard Deviation;User;Note
0001S-1;Seawater;09/13/2024  09:45:12;12.000000;0.0914537;>30;17.800000;14698.823267;0.999993;0.328635;2504.6;;Luka;
0001S-2;Seawater;09/13/2024  09:57:39;12.000000;0.0914537;>30;17.800000;14839.938496;0.999984;0.324709;2474.7;21.1563;Luka;
0001S-3;Seawater;09/13/2024  10:32:13;12.000000;0.0914537;>30;17.800000;14973.810444;0.999968;0.325289;2479.1;3.1229;Luka;
0002S-1;CRM-217-0078;09/13/2024  10:57:57;12.000000;0.0914537;>30;18.300000;14973.072763;0.999975;0.295410;2251.4;;Luka;
0002S-2;CRM-217-0078;09/13/2024  11:17:20;12.000000;0.0914537;>30;18.300000;17736.279343;0.999984;0.245762;1873.0;267.5491;Luka;
0003S-1;CRM-217-0078;09/13/2024  11:33:19;10.000000;0.0914537;>30;18.500000;18135.296517;0.999977;0.245729;2247.3;;Luka;
0004S-1;1_9;09/13/2024  12:24:13;10.000000;0.0914537;>30;18.800000;17734.920183;0.999958;0.262469;2400.4;;Luka;
0005S-1;1_2;09/13/2024  12:36:44;10.000000;0.0914537;>30;18.800000;17724.132719;0.999961;0.260213;2379.7;;Luka;
0006S-1;1_10;09/13/2024  14:18:55;10.000000;0.0914537;>30;19.200000;18109.329365;0.999975;0.200543;1834.0;;Luka;
0007S-1;1_12;09/13/2024  14:31:49;10.000000;0.0914537;>30;19.200000;17774.610265;0.999951;0.206659;1890.0;;Luka;
0008S-1;1_4;09/13/2024  15:06:31;10.000000;0.0914537;>30;19.400000;18114.964898;0.999921;0.230108;2104.4;;Luka;
0009S-1;1_14;09/13/2024  15:17:58;10.000000;0.0914537;>30;19.400000;18164.488938;0.999966;0.256015;2341.3;;Luka;
0010S-1;1_7;09/13/2024  15:30:13;10.000000;0.0914537;>30;19.500000;18319.552093;0.999963;0.201455;1842.4;;Luka;
0011S-1;1_1;09/13/2024  15:40:59;10.000000;0.0914537;>30;19.500000;18261.660510;0.999966;0.252507;2309.3;;Luka;
0012S-1;1_8;09/13/2024  16:01:34;10.000000;0.0914537;>30;19.600000;18348.316339;0.999967;0.265413;2427.3;;Luka;
0013S-1;1_13;09/13/2024  16:14:28;10.000000;0.0914537;>30;19.700000;18267.850190;0.999953;0.210905;1928.8;;Luka;
0014S-1;1_6;09/13/2024  16:53:54;10.000000;0.0914537;>30;19.800000;18343.916303;0.999963;0.250139;2287.6;;Luka;
0015S-1;1_15;09/13/2024  17:05:40;10.000000;0.0914537;>30;19.900000;18256.451897;0.999955;0.205562;1879.9;;Luka;
