Project;;;;;;;;;;;;;
Memo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Sample ID;Sample Name;Time;Sample Volume (ml);HCl Concentration (M);Salinity;Temperature (C);Slope;R^2;End Volume (ml);Total Alkalinity (uM);Standard Deviation;User;Note
0001S-1;CRM;09/16/2024  11:54:29;10.000000;0.0914537;>30;21.100000;18778.598306;0.999907;0.245640;2246.5;;;
0001S-2;CRM;09/16/2024  12:03:58;10.000000;0.0914537;>30;21.100000;18953.484734;0.999941;0.243211;2224.3;15.7083;;
0001S-3;CRM;09/16/2024  15:35:58;10.000000;0.0914537;>30;21.100000;19444.068550;0.999924;0.242275;2215.7;6.0526;;
0002S-1;61_100924_am;09/16/2024  15:46:42;10.000000;0.0914537;>30;21.200000;19462.798270;0.999941;0.258986;2368.5;;;
0002S-2;61_100924_am;09/16/2024  15:55:47;10.000000;0.0914537;>30;21.200000;19407.408561;0.999890;0.256835;2348.9;13.9105;;
0002S-3;61_100924_am;09/16/2024  16:04:01;10.000000;0.0914537;>30;21.200000;19478.487413;0.999928;0.256708;2347.7;0.8225;;
0003S-1;1_0;09/16/2024  16:19:57;10.000000;0.0914537;>30;21.500000;19033.500656;0.999905;0.253789;2321.0;;Luka;
0004S-1;1_16;09/16/2024  16:30:50;10.000000;0.0914537;>30;21.500000;19033.003878;0.999907;0.253925;2322.2;;Luka;
0005S-1;1_3;09/16/2024  16:40:43;10.000000;0.0914537;>30;21.500000;18633.049094;0.999807;0.274949;2514.5;;Luka;
0006S-1;1_11;09/16/2024  16:57:33;10.000000;0.0914537;>30;21.600000;18998.778395;0.999886;0.248933;2276.6;;Luka;
0007S-1;1_5;09/16/2024  17:07:54;10.000000;0.0914537;>30;21.600000;19013.290477;0.999913;0.220047;2012.4;;Luka;
0008S-1;62_100924_am;09/16/2024  17:19:11;10.000000;0.0914537;>30;21.600000;20865.092408;0.999923;0.238192;2178.4;;Lily;
0008S-2;62_100924_am;09/16/2024  17:30:33;10.000000;0.0914537;>30;21.600000;19432.967088;0.999934;0.258778;2366.6;133.1249;Lily;
0008S-3;62_100924_am;09/16/2024  17:39:28;10.000000;0.0914537;>30;21.600000;19327.180971;0.999924;0.258654;2365.5;0.7999;Lily;
