Project;Bryozoans_Enrichment;;;;;;;;;;;;
Memo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Sample ID;Sample Name;Time;Sample Volume (ml);HCl Concentration (M);Salinity;Temperature (C);Slope;R^2;End Volume (ml);Total Alkalinity (uM);Standard Deviation;User;Note
0010S-1;2_12;09/26/2024  16:27:19;10.000000;0.0914537;>30;20.800000;18893.615254;0.999947;0.267183;2443.5;;Luka;
0011S-1;2_5;09/26/2024  16:59:57;10.000000;0.0914537;>30;20.900000;18479.073876;0.999874;0.250955;2295.1;;Luka;
0012S-1;2_2;09/26/2024  17:08:30;10.000000;0.0914537;>30;20.900000;18473.891887;0.999934;0.257696;2356.7;;Luka;
0013S-1;2_15;09/26/2024  17:20:59;10.000000;0.0914537;>30;20.900000;18630.095202;0.999924;0.237796;2174.7;;Luka;
0014S-1;2_11;09/26/2024  17:29:37;10.000000;0.0914537;>30;20.900000;18723.945144;0.999917;0.255352;2335.3;;Luka;
0015S-1;H_0;09/26/2024  17:38:47;10.000000;0.0914537;>30;20.900000;18672.708052;0.999921;0.260092;2378.6;;Luka;
0016S-1;O_0;09/26/2024  17:47:11;10.000000;0.0914537;>30;20.900000;18797.024744;0.999902;0.258158;2360.9;;Luka;
0017S-1;O_1;09/26/2024  17:56:10;10.000000;0.0914537;>30;20.900000;18252.983449;0.999879;0.385627;3526.7;;Luka;
0018S-1;O_2;09/26/2024  18:06:58;10.000000;0.0914537;>30;21.000000;18216.380688;0.999843;0.359035;3283.5;;Luka;
0019S-1;O_3;09/26/2024  18:16:11;10.000000;0.0914537;>30;21.100000;18321.247365;0.999809;0.408937;3739.9;;Luka;
0020S-1;O_4;09/26/2024  18:26:07;10.000000;0.0914537;>30;21.100000;18323.168868;0.999837;0.372778;3409.2;;Luka;
0021S-1;S_1_0;09/26/2024  18:36:31;10.000000;0.0914537;>30;21.100000;18707.631318;0.999908;0.260779;2384.9;;Luka;
0022S-1;2_12;09/26/2024  18:45:40;10.000000;0.0914537;>30;21.200000;18745.194617;0.999906;0.267888;2449.9;;Luka;
