Project;Snails;;;;;;;;;;;;
Memo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Sample ID;Sample Name;Time;Sample Volume (ml);HCl Concentration (M);Salinity;Temperature (C);Slope;R^2;End Volume (ml);Total Alkalinity (uM);Standard Deviation;User;Note
0001S-1;S_1_9;10/02/2024  14:43:24;10.000000;0.0914537;>30;22.400000;18437.399753;0.999862;0.275833;2522.6;;Luka;
0002S-1;S_1_3;10/02/2024  14:51:47;10.000000;0.0914537;>30;22.400000;18602.555048;0.999968;0.183453;1677.7;;Luka;
0003S-1;S_1_1;10/02/2024  14:58:14;10.000000;0.0914537;>30;22.400000;18793.544617;0.999955;0.178998;1637.0;;Luka;
0004S-1;S_1_2;10/02/2024  15:05:50;10.000000;0.0914537;>30;22.300000;18529.909065;0.999926;0.207144;1894.4;;Luka;
0005S-1;S_1_6;10/02/2024  15:13:24;10.000000;0.0914537;>30;22.200000;18782.403473;0.999991;0.174666;1597.4;;Luka;
0006S-1;S_1_7;10/02/2024  15:20:06;10.000000;0.0914537;>30;22.200000;18625.203318;0.999916;0.195767;1790.4;;Luka;
0007S-1;S_1_5;10/02/2024  15:26:35;10.000000;0.0914537;>30;22.200000;18684.556303;0.999888;0.227451;2080.1;;Luka;
0008S-1;S_1_8;10/02/2024  15:35:31;10.000000;0.0914537;>30;22.100000;18768.286293;0.999972;0.177396;1622.3;;Luka;
0009S-1;S_1_4;10/02/2024  15:42:23;10.000000;0.0914537;>30;22.100000;18666.619131;0.999959;0.198046;1811.2;;Luka;
0010S-1;H_1;10/02/2024  15:48:55;10.000000;0.0914537;>30;22.100000;18095.349962;0.999741;0.403010;3685.7;;Luka;
0011S-1;H_2;10/02/2024  15:59:06;10.000000;0.0914537;>30;22.100000;18120.300017;0.999742;0.383223;3504.7;;Luka;
0012S-1;S_1_9;10/02/2024  16:08:25;10.000000;0.0914537;>30;22.100000;18640.193295;0.999897;0.261723;2393.6;;Luka;
0013S-1;H_3;10/02/2024  16:16:27;10.000000;0.0914537;>30;22.100000;18354.882564;0.999860;0.394734;3610.0;;Luka;
0014S-1;H_4;10/02/2024  16:26:54;10.000000;0.0914537;>30;22.000000;18094.172104;0.999843;0.400852;3665.9;;Luka;
