Project;Cores;;;;;;;;;;;;
Memo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Sample ID;Sample Name;Time;Sample Volume (ml);HCl Concentration (M);Salinity;Temperature (C);Slope;R^2;End Volume (ml);Total Alkalinity (uM);Standard Deviation;User;Note
0009S-1;C_1_5_5d;11/04/2024  13:33:04;10.000000;0.0914537;>30;22.400000;16829.448882;0.999382;1.476295;13501.3;;Luka;
0010S-1;C_1_6_5d;11/04/2024  13:58:18;10.000000;0.0914537;>30;22.400000;15927.696335;0.999149;1.740025;15913.2;;Luka;
0011S-1;C_1_7_5d;11/04/2024  14:27:19;10.000000;0.0914537;>30;22.300000;17015.089542;0.999915;0.303781;2778.2;;Luka;
0012S-1;C_1_8_5d;11/04/2024  14:36:00;10.000000;0.0914537;>30;22.300000;16964.292798;0.999934;0.303902;2779.3;;Luka;
0013S-1;C_1_9_5d;11/04/2024  14:43:56;10.000000;0.0914537;>30;22.300000;16441.161330;0.999635;0.896240;8196.4;;Luka;
0014S-1;C_1_10_5d;11/04/2024  15:00:31;10.000000;0.0914537;>30;22.300000;16407.890283;0.999653;0.891663;8154.6;;Luka;
0015S-1;C_1_11_5d;11/04/2024  15:35:09;10.000000;0.0914537;>30;22.300000;7810.124191;0.951654;1.161213;10619.7;;Luka;
0016S-1;C_1_12_5d;11/04/2024  16:04:44;10.000000;0.0914537;>30;22.300000;15692.750321;0.998254;1.223407;11188.5;;Luka;
0017S-1;C_2_9_5d;11/04/2024  16:26:26;10.000000;0.0914537;>30;22.300000;16712.592259;0.999459;0.974139;8908.9;;Luka;
0018S-1;C_2_10_5d;11/04/2024  16:44:00;10.000000;0.0914537;>30;22.400000;16405.255243;0.999669;0.881710;8063.6;;Luka;
0019S-1;C_2_11_5d;11/04/2024  16:59:49;10.000000;0.0914537;>30;22.400000;16935.056218;0.999916;0.291370;2664.7;;Luka;
0020S-1;C_2_12_5d;11/04/2024  17:07:24;10.000000;0.0914537;>30;22.400000;16807.420945;0.999912;0.289362;2646.3;;Luka;
0021S-1;C_2_13_5d;11/04/2024  17:14:46;10.000000;0.0914537;>30;22.400000;7239.001204;0.940703;1.219520;11153.0;;Luka;
0022S-1;C_2_14_5d;11/04/2024  17:46:16;10.000000;0.0914537;>30;22.300000;16157.087341;0.999380;1.409414;12889.6;;Luka;
0023S-1;C_2_15_5d;11/04/2024  18:08:57;10.000000;0.0914537;>30;22.300000;16986.169568;0.999898;0.290680;2658.4;;Luka;
0024S-1;C_2_16_5d;11/04/2024  18:15:54;10.000000;0.0914537;>30;22.300000;16960.334609;0.999890;0.284784;2604.5;;Luka;
0025S-1;C_2_17_5d;11/04/2024  18:23:00;10.000000;0.0914537;>30;22.300000;16893.759783;0.999661;0.817947;7480.4;;Luka;
0026S-1;C_2_18_5d;11/04/2024  18:37:27;10.000000;0.0914537;>30;22.300000;16745.516729;0.999715;0.821599;7513.8;;Luka;
