User: NEW USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\NEW USER\Data\,,
Test ID: 345,,
Test Name: Luka_Na_Fluorescein,,
Date: 17/03/2024,,
Time: 1:35:34 PM,,
ID1: Plate 2,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (490-8/520-8)
A01,Sample X1,124043
A02,Sample X2,122557
A03,Sample X3,121600
A04,Sample X4,118186
A05,Sample X5,116987
A06,Sample X6,118900
A07,Sample X7,80423
A08,Sample X8,79084
A09,Sample X9,80257
A10,Sample X10,93815
A11,Sample X11,92138
A12,Sample X12,91447
B01,Sample X13,97972
B02,Sample X14,101030
B03,Sample X15,98606
B04,Sample X16,109058
B05,Sample X17,108760
B06,Sample X18,107531
B07,Sample X19,102762
B08,Sample X20,100851
B09,Sample X21,101372
B10,Sample X22,118546
B11,Sample X23,116034
B12,Sample X24,115434
C01,Sample X25,104246
C02,Sample X26,101631
C03,Sample X27,104397
C04,Sample X28,121181
C05,Sample X29,118946
C06,Sample X30,122447
C07,Sample X31,105403
C08,Sample X32,103195
C09,Sample X33,102978
C10,Sample X34,113458
C11,Sample X35,111311
C12,Sample X36,112837
D01,Sample X37,105297
D02,Sample X38,104098
D03,Sample X39,103957
D04,Sample X40,130240
D05,Sample X41,128671
D06,Sample X42,128854
D07,Sample X43,94836
D08,Sample X44,94226
D09,Sample X45,94623
D10,Sample X46,99101
D11,Sample X47,96174
D12,Sample X48,97547
E01,Sample X49,98706
E02,Sample X50,98901
E03,Sample X51,97915
E04,Sample X52,103411
E05,Sample X53,103470
E06,Sample X54,104795
E07,Sample X55,92721
E08,Sample X56,92989
E09,Sample X57,93793
E10,Sample X58,107421
E11,Sample X59,106244
E12,Sample X60,105384
F01,Sample X61,117880
F02,Sample X62,117753
F03,Sample X63,117949
F04,Sample X64,94012
F05,Sample X65,90327
F06,Sample X66,91615
F07,Sample X67,126284
F08,Sample X68,127132
F09,Sample X69,124672
F10,Sample X70,121237
F11,Sample X71,120775
F12,Sample X72,120472
G01,Sample X73,112302
G02,Sample X74,112550
G03,Sample X75,113797
G04,Sample X76,115335
G05,Sample X77,114612
G06,Sample X78,115401
G07,Sample X79,101000
G08,Sample X80,99169
G09,Sample X81,99384
G10,Sample X82,116107
G11,Sample X83,117037
G12,Sample X84,115694
H01,Sample X85,108643
H02,Sample X86,107102
H03,Sample X87,112630
H04,Sample X88,98880
H05,Sample X89,98955
H06,Sample X90,97994
H07,Sample X91,136
H08,Sample X92,10673
H09,Sample X93,22558
H10,Sample X94,56908
H11,Sample X95,115199
H12,Sample X96,233682
