ID,Sediment,Species,Added,Kelp,Sampled,Length_1,Length_2,Notes
L_1_1,Silt,Control,NA,0,15.10.24,NA,NA,
L_1_2,Silt,Control,NA,0,15.10.24,NA,NA,
L_1_3,Silt,Laminaria hyperborea,15.10.24,1.063,22.10.24,NA,NA,burrowing crab
L_1_4,Silt,Laminaria ochroleuca,15.10.24,1.053,22.10.24,NA,NA,crab (presumed dead)
L_1_5,Silt,Laminaria hyperborea,15.10.24,15.07,29.10.24,NA,NA,
L_1_6,Silt,Laminaria ochroleuca,15.10.24,15.003,29.10.24,NA,NA,
L_1_7,Silt,Laminaria hyperborea,15.10.24,1.076,05.11.24,NA,NA,
L_1_8,Silt,Laminaria ochroleuca,15.10.24,1.062,05.11.24,NA,NA,
L_1_9,Silt,Laminaria hyperborea,15.10.24,7.543,05.11.24,NA,NA,
L_1_10,Silt,Laminaria ochroleuca,15.10.24,7.514,05.11.24,NA,NA,
L_1_11,Silt,Laminaria hyperborea,15.10.24,15.067,12.11.24,NA,NA,
L_1_12,Silt,Laminaria ochroleuca,15.10.24,15.017,12.11.24,NA,NA,
L_2_1,Silt,Control,NA,0,15.10.24,NA,NA,
L_2_2,Silt,Control,NA,0,15.10.24,NA,NA,
L_2_3,Silt,Control,NA,0,15.10.24,NA,NA,
L_2_4,Silt,Laminaria hyperborea,15.10.24,7.528,22.10.24,NA,NA,
L_2_5,Silt,Laminaria ochroleuca,15.10.24,7.551,22.10.24,NA,NA,
L_2_6,Silt,Laminaria hyperborea,15.10.24,14.992,22.10.24,NA,NA,
L_2_7,Silt,Control,NA,0,15.10.24,NA,NA,
L_2_8,Silt,Laminaria ochroleuca,15.10.24,15.003,22.10.24,NA,NA,
L_2_9,Silt,Laminaria hyperborea,15.10.24,7.487,29.10.24,NA,NA,
L_2_10,Silt,Laminaria ochroleuca,15.10.24,7.509,29.10.24,NA,NA,
L_2_11,Silt,Laminaria hyperborea,15.10.24,1.091,29.10.24,NA,NA,
L_2_12,Silt,Laminaria ochroleuca,15.10.24,1.044,29.10.24,NA,NA,
L_2_13,Silt,Laminaria hyperborea,15.10.24,15.097,05.11.24,NA,NA,
L_2_14,Silt,Laminaria ochroleuca,15.10.24,14.998,05.11.24,NA,NA,
L_2_15,Silt,Laminaria hyperborea,15.10.24,1.06,12.11.24,NA,NA,
L_2_16,Silt,Laminaria ochroleuca,15.10.24,1.041,12.11.24,NA,NA,
L_2_17,Silt,Laminaria hyperborea,15.10.24,7.542,12.11.24,NA,NA,
L_2_18,Silt,Laminaria ochroleuca,15.10.24,7.527,12.11.24,NA,NA,
E_C_1_1,Coarse sand,Control,NA,0,17.04.24,20.5,20.5,
E_C_1_2,Fine sand,Control,NA,0,17.04.24,23.5,24,
E_C_2_1,Fine sand,Control,NA,0,17.04.24,22.6,22.9,
E_C_2_2,Fine sand,Control,NA,0,17.04.24,22.8,24.1,
E_C_2_3,Fine sand,Control,NA,0,17.04.24,24,22.9,
E_1_1,Fine sand,Ecklonia radiata,18.04.24,9.99083,09.05.24,26,26.3,
E_1_2,Coarse sand,Ecklonia radiata,18.04.24,9.96625,15.05.24,23.9,24.3,
E_1_3,Fine sand,Ecklonia radiata,18.04.24,10.11147,22.05.24,21.5,21,
E_1_4,Coarse sand,Ecklonia radiata,18.04.24,9.93214,29.05.24,20,22.5,
E_1_5,Fine sand,Ecklonia radiata,18.04.24,10.11077,04.06.24,23,22.3,
E_1_6,Coarse sand,Ecklonia radiata,18.04.24,9.97246,10.06.24,25.5,25.2,
E_1_7,Fine sand,Ecklonia radiata,18.04.24,10.09204,18.06.24,25,25,
E_1_8,Coarse sand,Ecklonia radiata,18.04.24,10.05729,25.06.24,24.6,26.5,
E_1_9,Fine sand,Ecklonia radiata,18.04.24,9.99584,02.07.24,23.4,23.9,
E_1_10,Coarse sand,Ecklonia radiata,18.04.24,10.01239,10.07.24,24.4,26.3,
E_1_11,Fine sand,Ecklonia radiata,18.04.24,10.06705,18.07.24,23.5,22.8,
E_1_12,Coarse sand,Ecklonia radiata,18.04.24,10.15609,26.07.24,24.2,24.8,
E_1_13,Fine sand,Ecklonia radiata,18.04.24,10.08247,01.08.24,23.8,23.5,
E_1_14,Coarse sand,Ecklonia radiata,18.04.24,10.00486,07.08.24,25.3,24,
E_1_15,Fine sand,Ecklonia radiata,18.04.24,10.02708,16.08.24,22.2,23.3,burrowing shrimp
