ID,Tank,Core,Round,Day,Sediment,Sampled,Analysed,Salinity,TA,pH
1.12.0,1,12,1,0,Coarse,15.05.24,16.05.24,34.9,2901.216611,7.8826
1.13.0,1,13,1,0,Fine,15.05.24,16.05.24,34.9,2689.598222,7.7483
1.14.0,1,14,1,0,Coarse,15.05.24,16.05.24,34.9,2716.767241,7.7585
1.15.0,1,15,1,0,Fine,15.05.24,16.05.24,34.9,2726.131499,7.8239
2.12.0,2,12,1,0,Fine,15.05.24,16.05.24,34.8,2551.558769,7.8434
2.13.0,2,13,1,0,Coarse,15.05.24,16.05.24,34.9,2698.520083,7.8448
2.14.0,2,14,1,0,Fine,15.05.24,16.05.24,35,2838.085519,7.8436
2.15.0,2,15,1,0,Coarse,15.05.24,16.05.24,34.8,2673.953795,7.8617
1.12.2,1,12,1,2,Coarse,17.05.24,20.05.24,34.9,3910.61817,8.0157
1.13.2,1,13,1,2,Fine,17.05.24,20.05.24,35,2807.873848,7.7957
1.14.2,1,14,1,2,Coarse,17.05.24,20.05.24,34.9,3194.974607,7.8285
1.15.2,1,15,1,2,Fine,17.05.24,20.05.24,35,3525.875732,7.9135
2.12.2,2,12,1,2,Fine,17.05.24,20.05.24,35,3308.764058,7.8765
2.13.2,2,13,1,2,Coarse,17.05.24,20.05.24,34.9,3152.486552,7.7834
2.14.2,2,14,1,2,Fine,17.05.24,20.05.24,35.1,3627.773942,7.8793
2.15.2,2,15,1,2,Coarse,17.05.24,20.05.24,35,2962.501691,7.8339
1.12.6,1,12,1,6,Coarse,21.05.24,23.05.24,35.4,4834.000129,8.0573
1.13.6,1,13,1,6,Fine,21.05.24,23.05.24,35.5,2899.016059,7.8105
1.14.6,1,14,1,6,Coarse,21.05.24,23.05.24,35.3,3866.568201,7.8955
1.15.6,1,15,1,6,Fine,21.05.24,23.05.24,35.4,4108.806726,7.9609
2.12.6,2,12,1,6,Fine,21.05.24,23.05.24,35.6,4839.223538,7.9887
2.13.6,2,13,1,6,Coarse,21.05.24,23.05.24,35.3,3591.666613,7.8749
2.14.6,2,14,1,6,Fine,21.05.24,23.05.24,35.6,4732.917429,7.9507
2.15.6,2,15,1,6,Coarse,21.05.24,23.05.24,35.3,3406.15111,7.8923
1.12.7,1,12,1,7,Coarse,22.05.24,23.05.24,35.7,4904.484369,8.0352
1.13.7,1,13,1,7,Fine,22.05.24,23.05.24,35.7,3001.598005,7.8035
1.14.7,1,14,1,7,Coarse,22.05.24,23.05.24,35.4,3809.390847,7.8796
1.15.7,1,15,1,7,Fine,22.05.24,23.05.24,36.5,4124.708835,7.9203
2.12.7,2,12,1,7,Fine,22.05.24,23.05.24,35.9,5071.799514,7.9552
2.13.7,2,13,1,7,Coarse,22.05.24,23.05.24,35.5,3650.052836,7.8705
2.14.7,2,14,1,7,Fine,22.05.24,23.05.24,35.7,4941.591734,7.9316
2.15.7,2,15,1,7,Coarse,22.05.24,23.05.24,35.5,3538.639603,7.8924
1.12.0,1,12,2,0,Coarse,22.05.24,23.05.24,34.6,2748.215721,7.812
1.13.0,1,13,2,0,Fine,22.05.24,23.05.24,34.6,2541.954349,7.7238
1.14.0,1,14,2,0,Coarse,22.05.24,23.05.24,34.6,2555.119937,7.7009
1.15.0,1,15,2,0,Fine,22.05.24,23.05.24,34.6,2612.895527,7.7685
2.12.0,2,12,2,0,Fine,22.05.24,23.05.24,34.6,2700.921704,7.7466
2.13.0,2,13,2,0,Coarse,22.05.24,23.05.24,34.6,2514.322936,7.8146
2.14.0,2,14,2,0,Fine,22.05.24,23.05.24,34.6,2672.609552,7.8211
2.15.0,2,15,2,0,Coarse,22.05.24,23.05.24,34.6,2556.999547,7.8542
1.12.5,1,12,2,5,Coarse,27.05.24,30.05.24,35,3676.478793,7.9221
1.13.5,1,13,2,5,Fine,27.05.24,30.05.24,35.4,2582.053897,7.8125
1.14.5,1,14,2,5,Coarse,27.05.24,30.05.24,35,2643.000615,7.7434
1.15.5,1,15,2,5,Fine,27.05.24,30.05.24,34.9,3554.873725,7.8673
2.12.5,2,12,2,5,Fine,27.05.24,30.05.24,35,3859.707084,7.9571
2.13.5,2,13,2,5,Coarse,27.05.24,30.05.24,34.8,3186.539463,7.8252
2.14.5,2,14,2,5,Fine,27.05.24,30.05.24,35.1,4895.401604,7.9502
2.15.5,2,15,2,5,Coarse,27.05.24,30.05.24,34.9,3276.606401,7.8788
1.12.6,1,12,2,6,Coarse,28.05.24,30.05.24,35,3710.41318,7.8726
1.13.6,1,13,2,6,Fine,28.05.24,30.05.24,35.5,2719.190607,7.7075
1.14.6,1,14,2,6,Coarse,28.05.24,30.05.24,35.1,2847.323931,7.731
1.15.6,1,15,2,6,Fine,28.05.24,30.05.24,35,3470.715514,7.8439
2.12.6,2,12,2,6,Fine,28.05.24,30.05.24,35.1,3908.690612,7.9233
2.13.6,2,13,2,6,Coarse,28.05.24,30.05.24,34.9,3144.288398,7.81
2.14.6,2,14,2,6,Fine,28.05.24,30.05.24,35.2,5181.226103,7.8973
2.15.6,2,15,2,6,Coarse,28.05.24,30.05.24,35,3416.345928,7.8568
1.12.0,1,12,3,0,Coarse,28.05.24,05.06.24,34.5,2629.090381,7.7197
1.13.0,1,13,3,0,Fine,28.05.24,05.06.24,34.5,2512.003069,7.7738
1.14.0,1,14,3,0,Coarse,28.05.24,05.06.24,34.5,2560.662771,7.6305
1.15.0,1,15,3,0,Fine,28.05.24,05.06.24,34.5,2575.443612,7.7364
2.12.0,2,12,3,0,Fine,28.05.24,05.06.24,34.5,2610.228264,7.7893
2.13.0,2,13,3,0,Coarse,28.05.24,05.06.24,34.5,2514.358473,7.8176
2.14.0,2,14,3,0,Fine,28.05.24,05.06.24,34.7,3361.770909,7.8258
2.15.0,2,15,3,0,Coarse,28.05.24,05.06.24,34.5,2521.046185,7.7854
1.12.7,1,12,3,7,Coarse,04.06.24,05.06.24,34.9,2938.383391,7.783
1.13.7,1,13,3,7,Fine,04.06.24,05.06.24,35,2676.732066,7.7417
1.14.7,1,14,3,7,Coarse,04.06.24,05.06.24,34.7,2875.37816,7.6427
1.15.7,1,15,3,7,Fine,04.06.24,05.06.24,34.8,3541.876072,7.8684
2.12.7,2,12,3,7,Fine,04.06.24,05.06.24,34.9,3294.248092,7.7943
2.13.7,2,13,3,7,Coarse,04.06.24,05.06.24,34.8,3162.891686,7.7557
2.14.7,2,14,3,7,Fine,04.06.24,05.06.24,35.2,5192.283396,7.9509
2.15.7,2,15,3,7,Coarse,04.06.24,05.06.24,34.8,3523.960544,7.6381
1.12.7,1,12,3,7,Coarse,04.06.24,05.06.24,34.9,3011.979293,7.7893
1.13.7,1,13,3,7,Fine,04.06.24,05.06.24,35,2692.502604,7.7401
1.14.7,1,14,3,7,Coarse,04.06.24,05.06.24,34.7,2885.740042,7.6325
1.15.7,1,15,3,7,Fine,04.06.24,05.06.24,34.8,3466.437851,7.859
2.12.7,2,12,3,7,Fine,04.06.24,05.06.24,34.9,3209.455985,7.8183
2.13.7,2,13,3,7,Coarse,04.06.24,05.06.24,34.8,3146.803039,7.7547
2.14.7,2,14,3,7,Fine,04.06.24,05.06.24,35.2,5065.495326,7.9374
2.15.7,2,15,3,7,Coarse,04.06.24,05.06.24,34.8,3427.162911,7.7208
1.12.0,1,12,4,0,Coarse,04.06.24,07.06.24,34.2,2586.513911,7.8834
1.13.0,1,13,4,0,Fine,04.06.24,07.06.24,34.3,2496.38171,7.8332
1.14.0,1,14,4,0,Coarse,04.06.24,07.06.24,34.3,2535.161958,7.6917
1.15.0,1,15,4,0,Fine,04.06.24,07.06.24,34.3,2588.955934,7.761
2.12.0,2,12,4,0,Fine,04.06.24,07.06.24,34.3,2566.272119,7.7258
2.13.0,2,13,4,0,Coarse,04.06.24,07.06.24,34.3,2567.20908,7.6775
2.14.0,2,14,4,0,Fine,04.06.24,07.06.24,34.5,2754.329106,7.7772
2.15.0,2,15,4,0,Coarse,04.06.24,07.06.24,34.3,2601.127906,7.664
1.12.2,1,12,4,2,Coarse,06.06.24,07.06.24,34.2,2606.720731,7.714
1.13.2,1,13,4,2,Fine,06.06.24,07.06.24,34.3,2528.310163,7.7291
1.14.2,1,14,4,2,Coarse,06.06.24,07.06.24,34.3,2494.175272,6.7333
1.15.2,1,15,4,2,Fine,06.06.24,07.06.24,34.3,2921.390356,7.6401
2.12.2,2,12,4,2,Fine,06.06.24,07.06.24,34.4,2675.970323,7.3383
2.13.2,2,13,4,2,Coarse,06.06.24,07.06.24,34.3,2611.538697,7.5189
2.14.2,2,14,4,2,Fine,06.06.24,07.06.24,34.7,3182.867158,7.4917
2.15.2,2,15,4,2,Coarse,06.06.24,07.06.24,34.4,2680.559657,7.5604
1.12.6,1,12,4,6,Coarse,10.06.24,11.06.24,34.4,2966.208282,7.7924
1.13.6,1,13,4,6,Fine,10.06.24,11.06.24,34.5,2668.625252,7.7835
1.14.6,1,14,4,6,Coarse,10.06.24,11.06.24,34.4,2939.388741,7.76
1.15.6,1,15,4,6,Fine,10.06.24,11.06.24,34.5,3253.098794,7.8774
2.12.6,2,12,4,6,Fine,10.06.24,11.06.24,34.5,2958.205243,7.5967
2.13.6,2,13,4,6,Coarse,10.06.24,11.06.24,35,3002.200031,7.7904
2.14.6,2,14,4,6,Fine,10.06.24,11.06.24,34.9,3960.675682,7.8669
2.15.6,2,15,4,6,Coarse,10.06.24,11.06.24,35.1,3173.857636,7.7601
1.12.0,1,12,5,0,Coarse,10.06.24,11.06.24,34.1,2499.907551,7.6763
1.13.0,1,13,5,0,Fine,10.06.24,11.06.24,34.3,2468.72622,7.7165
1.14.0,1,14,5,0,Coarse,10.06.24,11.06.24,34.2,2502.694666,7.7007
1.15.0,1,15,5,0,Fine,10.06.24,11.06.24,34.2,2569.841253,7.7261
2.12.0,2,12,5,0,Fine,10.06.24,11.06.24,34.2,2495.984271,7.6344
2.13.0,2,13,5,0,Coarse,10.06.24,11.06.24,34.3,2497.535358,7.6775
2.14.0,2,14,5,0,Fine,10.06.24,11.06.24,34.3,2672.332589,7.6822
2.15.0,2,15,5,0,Coarse,10.06.24,11.06.24,34.3,2542.382518,7.6662
1.12.2,1,12,5,2,Coarse,12.06.24,13.06.24,34.4,2599.586255,7.7083
1.13.2,1,13,5,2,Fine,12.06.24,13.06.24,34.4,2546.171549,7.735
1.14.2,1,14,5,2,Coarse,12.06.24,13.06.24,34.3,2662.46356,7.7263
1.15.2,1,15,5,2,Fine,12.06.24,13.06.24,34.4,2918.012767,7.8056
2.12.2,2,12,5,2,Fine,12.06.24,13.06.24,34.3,2487.816671,7.5572
