User: NEW USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\NEW USER\Data\,,
Test ID: 347,,
Test Name: Luka_Na_Fluorescein,,
Date: 17/03/2024,,
Time: 1:47:17 PM,,
ID1: Plate 4,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (490-8/520-8)
A01,Sample X1,113246
A02,Sample X2,112928
A03,Sample X3,113399
A04,Sample X4,117681
A05,Sample X5,116891
A06,Sample X6,117396
A07,Sample X7,88968
A08,Sample X8,91131
A09,Sample X9,89914
A10,Sample X10,92967
A11,Sample X11,91092
A12,Sample X12,91322
B01,Sample X13,98944
B02,Sample X14,98299
B03,Sample X15,97207
B04,Sample X16,112006
B05,Sample X17,110897
B06,Sample X18,112339
B07,Sample X19,99863
B08,Sample X20,98821
B09,Sample X21,101035
B10,Sample X22,117883
B11,Sample X23,115586
B12,Sample X24,116691
C01,Sample X25,101767
C02,Sample X26,101138
C03,Sample X27,101260
C04,Sample X28,123227
C05,Sample X29,122797
C06,Sample X30,119166
C07,Sample X31,105452
C08,Sample X32,101927
C09,Sample X33,103975
C10,Sample X34,113796
C11,Sample X35,112341
C12,Sample X36,112745
D01,Sample X37,103289
D02,Sample X38,101266
D03,Sample X39,102897
D04,Sample X40,107782
D05,Sample X41,106791
D06,Sample X42,105167
D07,Sample X43,88157
D08,Sample X44,89208
D09,Sample X45,89891
D10,Sample X46,94966
D11,Sample X47,95722
D12,Sample X48,95411
E01,Sample X49,96127
E02,Sample X50,96059
E03,Sample X51,94027
E04,Sample X52,104711
E05,Sample X53,103941
E06,Sample X54,102505
E07,Sample X55,89782
E08,Sample X56,88436
E09,Sample X57,87795
E10,Sample X58,106972
E11,Sample X59,106318
E12,Sample X60,104373
F01,Sample X61,109363
F02,Sample X62,110138
F03,Sample X63,108410
F04,Sample X64,88963
F05,Sample X65,90761
F06,Sample X66,89262
F07,Sample X67,121341
F08,Sample X68,121503
F09,Sample X69,121985
F10,Sample X70,119869
F11,Sample X71,117338
F12,Sample X72,119131
G01,Sample X73,110227
G02,Sample X74,109633
G03,Sample X75,107907
G04,Sample X76,111324
G05,Sample X77,111931
G06,Sample X78,111039
G07,Sample X79,100572
G08,Sample X80,98890
G09,Sample X81,100479
G10,Sample X82,114483
G11,Sample X83,116414
G12,Sample X84,115425
H01,Sample X85,115165
H02,Sample X86,113882
H03,Sample X87,114665
H04,Sample X88,98470
H05,Sample X89,97446
H06,Sample X90,97209
H07,Sample X91,229
H08,Sample X92,11050
H09,Sample X93,23127
H10,Sample X94,56204
H11,Sample X95,115056
H12,Sample X96,231645
