ID,Tank,Core,Date,Section,Salinity,Temperature,Mass
K1.1,1,1,10.04.24,Bottom,36.2,16.5,1257
K1.2,1,2,10.04.24,Bottom,36.2,16.4,1500
K1.3,1,3,10.04.24,Bottom,36,16.4,1691
K1.4,1,4,10.04.24,Bottom,36,16.4,1637
K1.5,1,5,10.04.24,Bottom,36,16.4,1645
K1.6,1,6,10.04.24,Bottom,36.1,16.4,1473
K1.7,1,7,10.04.24,Bottom,36.1,16.3,1396
K1.8,1,8,10.04.24,Bottom,36.4,16.3,1370
K1.9,1,9,10.04.24,Bottom,36.1,16.3,1578
K1.10,1,10,10.04.24,Bottom,36.3,16.4,1393
K1.11,1,11,10.04.24,Bottom,36.2,16.4,1529
K1.12,1,12,10.04.24,Bottom,36.1,16.3,1570
K1.13,1,13,10.04.24,Bottom,36.3,16.3,1517
K1.14,1,14,10.04.24,Bottom,36,16.3,1433
K1.15,1,15,10.04.24,Bottom,36.2,16.4,1635
K2.1,2,1,10.04.24,Bottom,36.3,16.4,1763
K2.2,2,2,10.04.24,Bottom,36,16.5,1442
K2.3,2,3,10.04.24,Bottom,36.1,16.5,1667
K2.4,2,4,10.04.24,Bottom,36.1,16.5,1528
K2.5,2,5,10.04.24,Bottom,35.9,16.5,1539
K2.6,2,6,10.04.24,Bottom,36.1,16.4,1390
K2.7,2,7,10.04.24,Bottom,35.9,16.4,1571
K2.8,2,8,10.04.24,Bottom,36,16.4,1433
K2.9,2,9,10.04.24,Bottom,36.1,16.4,1402
K2.10,2,10,10.04.24,Bottom,35.9,16.5,1493
K2.11,2,11,10.04.24,Bottom,36.2,16.4,1411
K2.12,2,12,10.04.24,Bottom,36.1,16.4,1447
K2.13,2,13,10.04.24,Bottom,36,16.4,1471
K2.14,2,14,10.04.24,Bottom,36.2,16.4,1172
K2.15,2,15,10.04.24,Bottom,36.3,16.5,1614
K1.1,1,1,12.04.24,Top,35.5,17.1,856
K1.2,1,2,12.04.24,Top,35.3,16.9,721
K1.3,1,3,12.04.24,Top,35.5,16.9,740
K1.4,1,4,12.04.24,Top,35.3,16.8,814
K1.5,1,5,12.04.24,Top,35.3,16.9,855
K1.6,1,6,12.04.24,Top,35.3,16.9,792
K1.7,1,7,12.04.24,Top,35.7,16.9,686
K1.8,1,8,12.04.24,Top,35.4,16.9,747
K1.9,1,9,12.04.24,Top,35.4,17.1,808
K1.10,1,10,12.04.24,Top,35.5,17.1,872
K1.11,1,11,12.04.24,Top,35.4,17.1,825
K1.12,1,12,12.04.24,Top,35.5,17,809
K1.13,1,13,12.04.24,Top,35.3,17.2,830
K1.14,1,14,12.04.24,Top,35.3,17.2,850
K1.15,1,15,12.04.24,Top,35.5,17.1,794
K2.1,2,1,12.04.24,Top,35.3,17.1,792
K2.2,2,2,12.04.24,Top,35.3,17.3,805
K2.3,2,3,12.04.24,Top,35.3,17.3,820
K2.4,2,4,12.04.24,Top,35.5,17.3,766
K2.5,2,5,12.04.24,Top,35.3,17.3,840
K2.6,2,6,12.04.24,Top,35.4,17.4,759
K2.7,2,7,12.04.24,Top,35.2,17.3,765
K2.8,2,8,12.04.24,Top,35.3,17.3,788
K2.9,2,9,12.04.24,Top,35.3,17.3,782
K2.10,2,10,12.04.24,Top,35.3,17.5,723
K2.11,2,11,12.04.24,Top,35.4,17.4,840
K2.12,2,12,12.04.24,Top,35.6,17.4,739
K2.13,2,13,12.04.24,Top,35.3,17.4,772
K2.14,2,14,12.04.24,Top,35.5,17.5,752
K2.15,2,15,12.04.24,Top,35.3,17.4,709
