Sample ID;Sample # In Batch;Sample Name;Port;Volume (ml);Start Time;Attempt #;Cell Temp (C);H2O (‰);Initial Baseline (ppm);Final Baseline (ppm);Peak (ppm);Integration Time (sec);Area (net);Area (net avg);DIC (uM);Status;;Wait Btwn Repeat (s);Wait Btwn Sample (s);Flush Volume (ml);Pre-Acid Volume (ml);Acid Volume (ml);Injection Speed (sps);End Analysis - Criteria;End Analysis - Value;Precision;Standard Curve;Gas Flowrate
0001A-1-1;1A;;C (STD);1.200000;;1;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Halted;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;;;0.00200+0.00000;Broken Line;220.000000
0001B-1-1;1B;;C (STD);1.500000;10/10/24  13:19:27;1;51.560000;9.509420;-26.013362;-25.182425;1045.970000;117.999533;18564.835505;18595.228237;2093.870000;Valid;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
0001B-1-2;1B;;C (STD);1.500000;10/10/24  13:24:31;1;51.560000;8.564600;-25.975162;-25.140556;1040.380000;112.999579;18609.235441;18595.228237;2093.870000;Valid;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
0001B-1-3;1B;;C (STD);1.500000;10/10/24  13:29:28;1;51.556700;7.360660;-25.898975;-25.053863;1025.100000;100.499778;18611.613764;18595.228237;2093.870000;Valid;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
0001C-1-1;1C;;C (STD);1.800000;10/10/24  13:34:19;1;51.560000;6.578140;-26.126156;-25.283700;1046.610000;120.000222;22348.274138;22223.962814;2093.870000;Excluded;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
0001C-1-2;1C;;C (STD);1.800000;10/10/24  13:39:29;1;51.560000;5.901130;-26.072488;-25.239562;1041.910000;120.500308;22279.457256;22223.962814;2093.870000;Valid;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
0001C-1-3;1C;;C (STD);1.800000;10/10/24  13:44:41;1;51.563400;5.453930;-26.205231;-25.372125;1043.180000;120.502166;22209.623270;22223.962814;2093.870000;Valid;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
0001C-1-4;1C;;C (STD);1.800000;10/10/24  13:49:54;1;51.560000;5.077950;-26.250856;-25.414175;1049.910000;121.999430;22182.807917;22223.962814;2093.870000;Valid;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
0002S-1-1;2;C_1_1_1h;D;1.500000;10/10/24  13:55:44;1;51.563400;4.745150;-26.419994;-24.839269;1101.980000;101.999648;19958.450574;19941.205615;2223.835572;Valid;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;Deviation;0.120000;0.00200+0.00000;Broken Line;220.000000
0002S-1-2;2;C_1_1_1h;D;1.500000;10/10/24  14:00:30;1;51.556700;4.734440;-26.225487;-25.401962;1081.350000;113.997859;19935.876398;19941.205615;2223.835572;Valid;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
0002S-1-3;2;C_1_1_1h;D;1.500000;10/10/24  14:05:29;1;51.563400;4.771530;-26.429525;-25.586750;1088.250000;126.500488;19929.289872;19941.205615;2223.835572;Valid;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
0003S-1-1;3;C_1_8_1h;E;1.500000;10/10/24  14:11:23;1;51.556700;4.608540;-26.326606;-25.482094;1097.090000;118.500634;20062.973891;0.000000;0.000000;Failed;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
0003S-1-2;3;C_1_8_1h;E;1.500000;10/10/24  14:16:27;1;51.563400;4.639720;-26.439750;-25.624162;1085.070000;126.999048;20070.811720;0.000000;0.000000;Failed;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
0003S-1-3;3;C_1_8_1h;E;1.500000;10/10/24  14:21:38;1;51.560000;4.590790;-26.347906;-25.531706;1090.660000;123.499893;19966.345065;0.000000;0.000000;Failed;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
0003S-1-4;3;C_1_8_1h;E;1.500000;10/10/24  14:26:45;1;51.563400;4.534670;-26.218519;-25.390163;1081.370000;116.998927;19919.675817;0.000000;0.000000;Failed;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
0003S-1-5;3;C_1_8_1h;E;1.500000;10/10/24  14:31:46;1;51.556700;4.396850;-26.216275;-25.376331;572.600000;89.499605;8565.530894;0.000000;0.000000;Failed;;15.000000;5.000000;0.700000;0.700000;0.700000;1700.000000;BL Diff;0.850000;0.00200+0.00000;Broken Line;220.000000
