Project;Bryozoan;;;;;;;;;;;;
Memo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Sample ID;Sample Name;Time;Sample Volume (ml);HCl Concentration (M);Salinity;Temperature (C);Slope;R^2;End Volume (ml);Total Alkalinity (uM);Standard Deviation;User;Note
0001S-1;2_8;09/24/2024  16:00:06;10.000000;0.0914537;>30;21.200000;18991.945390;0.999902;0.260109;2378.8;;Luka;
0002S-1;2_14;09/24/2024  16:10:02;10.000000;0.0914537;>30;21.200000;18868.752426;0.999934;0.245850;2248.4;;Luka;
0003S-1;2_10;09/24/2024  16:22:08;10.000000;0.0914537;>30;21.200000;18874.284487;0.999893;0.256402;2344.9;;Luka;
0004S-1;2_16;09/24/2024  17:10:04;10.000000;0.0914537;>30;21.200000;0.000000;0.000000;0.000000;0.0;Canceled;Luka;
0005S-1;2_0;09/24/2024  17:15:40;10.000000;0.0914537;>30;21.200000;19246.482489;0.999917;0.256277;2343.7;;Luka;
0006S-1;2_9;09/24/2024  17:26:13;10.000000;0.0914537;>30;21.200000;18999.073729;0.999904;0.241553;2209.1;;Luka;
0007S-1;2_1;09/24/2024  17:37:52;10.000000;0.0914537;>30;21.200000;18883.192567;0.999937;0.235734;2155.9;;Luka;
0008S-1;2_7;09/24/2024  17:48:16;10.000000;0.0914537;>30;21.200000;19008.010405;0.999952;0.232066;2122.3;;Luka;
0009S-1;2_3;09/24/2024  18:09:30;10.000000;0.0914537;>30;21.300000;18959.441631;0.999919;0.239796;2193.0;;Luka;
0010S-1;2_13;09/24/2024  18:19:15;10.000000;0.0914537;>30;21.300000;19011.689405;0.999952;0.238568;2181.8;;Luka;
0011S-1;2_4;09/24/2024  18:28:45;10.000000;0.0914537;>30;21.300000;19008.732212;0.999944;0.241358;2207.3;;Luka;
0012S-1;2_6;09/24/2024  18:37:55;10.000000;0.0914537;>30;21.300000;19113.009713;0.999939;0.257612;2356.0;;Luka;
