Project;Snails;;;;;;;;;;;;
Memo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Sample ID;Sample Name;Time;Sample Volume (ml);HCl Concentration (M);Salinity;Temperature (C);Slope;R^2;End Volume (ml);Total Alkalinity (uM);Standard Deviation;User;Note
0001S-1;S_2_0;10/11/2024  12:18:45;10.000000;0.0914537;>30;21.800000;18756.500736;0.999936;0.255088;2332.9;;Luka;
0002S-1;S_2_6;10/11/2024  12:32:51;10.000000;0.0914537;>30;21.800000;18684.664924;0.999890;0.230711;2109.9;;Luka;
0003S-1;S_2_4;10/11/2024  12:41:50;10.000000;0.0914537;>30;21.800000;19104.367493;0.999972;0.160555;1468.3;;Luka;
0004S-1;S_2_8;10/11/2024  12:50:44;10.000000;0.0914537;>30;21.800000;18867.515411;0.999982;0.191162;1748.2;;Luka;
0005S-1;S_2_2;10/11/2024  12:56:45;10.000000;0.0914537;>30;21.900000;18855.646405;0.999910;0.201983;1847.2;;Luka;
0006S-1;S_2_3;10/11/2024  13:04:23;10.000000;0.0914537;>30;21.900000;18991.417345;0.999953;0.192205;1757.8;;Luka;
0007S-1;S_2_9;10/11/2024  13:11:21;10.000000;0.0914537;>30;21.900000;18707.200043;0.999907;0.206042;1884.3;;Luka;
0008S-1;S_2_7;10/11/2024  13:18:14;10.000000;0.0914537;>30;21.900000;19024.853704;0.999971;0.184746;1689.6;;Luka;
0009S-1;S_2_10;10/11/2024  13:24:31;10.000000;0.0914537;>30;21.900000;19088.356319;0.999968;0.165852;1516.8;;Luka;
0010S-1;S_2_1;10/11/2024  13:29:42;10.000000;0.0914537;>30;21.900000;18875.419914;0.999905;0.202733;1854.1;;Luka;
