Project;Cores;;;;;;;;;;;;
Memo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Sample ID;Sample Name;Time;Sample Volume (ml);HCl Concentration (M);Salinity;Temperature (C);Slope;R^2;End Volume (ml);Total Alkalinity (uM);Standard Deviation;User;Note
0001S-1;S_2_12;10/14/2024  11:30:12;10.000000;0.0914537;>30;21.600000;18636.812741;0.999895;0.256620;2346.9;;Luka;
0002S-1;S_2_11;10/14/2024  11:38:08;10.000000;0.0914537;>30;21.700000;18716.719789;0.999968;0.193908;1773.4;;Luka;
0003S-1;S_2_5;10/14/2024  11:46:07;10.000000;0.0914537;>30;21.700000;18833.599103;0.999971;0.190144;1738.9;;Luka;
0004S-1;S_2_12;10/14/2024  11:53:34;10.000000;0.0914537;>30;21.800000;18858.134620;0.999895;0.255531;2336.9;;Luka;
0005S-1;C_1_10_1h;10/14/2024  12:04:13;10.000000;0.0914537;>30;21.800000;18987.953470;0.999888;0.252590;2310.0;;Luka;
0006S-1;C_2_2_1h;10/14/2024  12:12:32;10.000000;0.0914537;>30;21.900000;18934.205386;0.999907;0.254896;2331.1;;Luka;
0007S-1;C_2_16_1h;10/14/2024  12:22:52;10.000000;0.0914537;>30;21.900000;18875.859496;0.999915;0.253559;2318.9;;Luka;
0008S-1;C_2_4_1h;10/14/2024  12:32:02;10.000000;0.0914537;>30;21.900000;18902.351221;0.999924;0.255199;2333.9;;Luka;
0009S-1;C_2_12_1h;10/14/2024  12:39:45;10.000000;0.0914537;>30;21.900000;18851.815674;0.999903;0.254202;2324.8;;Luka;
0010S-1;C_1_11_1h;10/14/2024  13:05:15;10.000000;0.0914537;>30;21.800000;18929.453601;0.999898;0.255942;2340.7;;Luka;
0011S-1;C_1_9_1h;10/14/2024  13:54:11;10.000000;0.0914537;>30;21.800000;18852.487461;0.999898;0.254853;2330.7;;Luka;
0012S-1;C_2_17_1h;10/14/2024  15:06:24;10.000000;0.0914537;>30;21.800000;18681.490850;0.999897;0.256971;2350.1;;Luka;
0013S-1;C_2_7_1h;10/14/2024  15:14:36;10.000000;0.0914537;>30;21.800000;18611.572625;0.999908;0.256961;2350.0;;Luka;
0014S-1;C_2_6_1h;10/14/2024  15:39:20;10.000000;0.0914537;>30;21.900000;18819.132633;0.999890;0.256258;2343.6;;Luka;
0015S-1;C_2_3_1h;10/14/2024  15:47:42;10.000000;0.0914537;>30;21.900000;18741.622664;0.999887;0.256875;2349.2;;Luka;
0016S-1;C_2_1_1h;10/14/2024  15:56:12;10.000000;0.0914537;>30;21.900000;18755.802858;0.999897;0.256971;2350.1;;Luka;
0017S-1;C_2_9_1h;10/14/2024  17:29:13;10.000000;0.0914537;>30;21.900000;18522.001488;0.999918;0.257726;2357.0;;Luka;
0018S-1;C_2_13_1h;10/14/2024  17:39:03;10.000000;0.0914537;>30;21.900000;18543.062927;0.999875;0.257521;2355.1;;Luka;
0019S-1;C_1_2_1h;10/14/2024  17:47:23;10.000000;0.0914537;>30;21.900000;18667.400174;0.999907;0.256203;2343.1;;Luka;
0020S-1;C_2_5_1h;10/14/2024  17:55:17;10.000000;0.0914537;>30;21.900000;18744.941104;0.999922;0.255143;2333.4;;Luka;
0021S-1;C_1_3_1h;10/14/2024  18:04:04;10.000000;0.0914537;>30;21.900000;5992.503920;0.760486;0.107130;979.7;;Luka;
0022S-1;C_1_6_1h;10/14/2024  18:21:28;10.000000;0.0914537;>30;21.900000;18757.732043;0.999908;0.256343;2344.4;;Luka;
0023S-1;C_0;10/14/2024  18:30:02;10.000000;0.0914537;>30;22.100000;18648.729836;0.999914;0.257262;2352.8;;Luka;
