LS,17/03/2018 11:52,,
File name:,Luka Sed Rep 1_181124_Hayley_1121_01.$ls,,
File ID:,Luka Sed Rep 1,,
Sample ID:,181124,,
Operator:,Hayley,,
Bar code:,,,
Comment 1:,,,
Comment 2:,,,
,,,
From,0.375,,
To,2000,,
Volume ,100,,
Mean:,26.8,,
Median:,30.54,,
"D(0,0):",0.676,,
Mean/Median ratio:,0.878,,
Mode:,127.6,,
S.D.:,3.705,,
Variance:,13.73,,
C.V.:,0,,
Skewness:,-0.586,,
Kurtosis:,-0.311,,
d10:,4.575,,
d50:,30.54,,
d90:,128,,
Specific Surf. Area:,6063,,
,,,
% <,Size ,,
10,4.57,,
25,10.7,,
50,30.5,,
75,88.6,,
90,128,,
,,,
% >,Size ,,
10,128,,
25,88.6,,
50,30.5,,
75,10.7,,
90,4.57,,
,,,
Size ,% <,,
1,1.58,,
10,23.4,,
100,78.8,,
1000,100,,
,,,
Size ,% >,,
1,98.4,,
10,76.6,,
100,21.2,,
1000,0,,
,,,
Volume,,,
%,,,
10,,,
25,,,
50,,,
75,,,
90,,,
,,,
Channel,Diff.,Cum. <,Cum. >
Diameter,Volume,Volume,Volume
(Lower),%,%,%
um,,,
0.375,0.032,0,100
0.412,0.057,0.032,99.97
0.452,0.083,0.089,99.9
0.496,0.12,0.17,99.8
0.545,0.15,0.29,99.7
0.598,0.17,0.44,99.6
0.656,0.19,0.6,99.4
0.721,0.21,0.79,99.2
0.791,0.22,1,99
0.868,0.23,1.22,98.8
0.953,0.24,1.46,98.5
1.047,0.25,1.7,98.3
1.149,0.26,1.95,98.1
1.261,0.27,2.21,97.8
1.385,0.29,2.48,97.5
1.52,0.31,2.77,97.2
1.668,0.34,3.08,96.9
1.832,0.37,3.41,96.6
2.011,0.41,3.79,96.2
2.207,0.47,4.2,95.8
2.423,0.53,4.67,95.3
2.66,0.6,5.2,94.8
2.92,0.69,5.8,94.2
3.205,0.78,6.49,93.5
3.519,0.88,7.26,92.7
3.863,0.98,8.14,91.9
4.24,1.09,9.12,90.9
4.655,1.21,10.2,89.8
5.11,1.33,11.4,88.6
5.61,1.44,12.7,87.3
6.158,1.56,14.2,85.8
6.76,1.67,15.7,84.3
7.421,1.78,17.4,82.6
8.147,1.88,19.2,80.8
8.943,1.97,21.1,78.9
9.817,2.05,23.1,76.9
10.78,2.12,25.1,74.9
11.83,2.17,27.2,72.8
12.99,2.21,29.4,70.6
14.26,2.23,31.6,68.4
15.65,2.23,33.8,66.2
17.18,2.24,36.1,63.9
18.86,2.25,38.3,61.7
20.7,2.27,40.6,59.4
22.73,2.29,42.8,57.2
24.95,2.28,45.1,54.9
27.39,2.24,47.4,52.6
30.07,2.18,49.6,50.4
33.01,2.12,51.8,48.2
36.24,2.1,54,46
39.78,2.14,56.1,43.9
43.67,2.22,58.2,41.8
47.94,2.29,60.4,39.6
52.62,2.32,62.7,37.3
57.77,2.26,65,35
63.41,2.14,67.3,32.7
69.61,2.05,69.4,30.6
76.42,2.12,71.5,28.5
83.89,2.45,73.6,26.4
92.09,3.09,76,24
101.1,3.91,79.1,20.9
111,4.56,83,17
121.8,4.66,87.6,12.4
133.7,3.97,92.3,7.74
146.8,2.5,96.2,3.78
161.2,1.05,98.7,1.28
176.9,0.21,99.8,0.23
194.2,0.018,99.98,0.018
213.2,0,100,0
234.1,0,100,0
256.9,0,100,0
282.1,0,100,0
309.6,0,100,0
339.9,0,100,0
373.1,0,100,0
409.6,0,100,0
449.7,0,100,0
493.6,0,100,0
541.9,0,100,0
594.9,0,100,0
653,0,100,0
716.8,0,100,0
786.9,0,100,0
863.9,0,100,0
948.3,0,100,0
1041,0,100,0
1143,0,100,0
1255,0,100,0
1377,0,100,0
1512,0,100,0
1660,0,100,0
1822,0,100,0
2000,,100,0
