Sample,Mean,Median,Mode,SD,Skewness,Kurtosis,Bin,Percentage
1,26.8,30.54,127.6,3.705,-0.586,-0.311,0.375,0.032
1,26.8,30.54,127.6,3.705,-0.586,-0.311,0.412,0.057
1,26.8,30.54,127.6,3.705,-0.586,-0.311,0.452,0.083
1,26.8,30.54,127.6,3.705,-0.586,-0.311,0.496,0.12
1,26.8,30.54,127.6,3.705,-0.586,-0.311,0.545,0.15
1,26.8,30.54,127.6,3.705,-0.586,-0.311,0.598,0.17
1,26.8,30.54,127.6,3.705,-0.586,-0.311,0.656,0.19
1,26.8,30.54,127.6,3.705,-0.586,-0.311,0.721,0.21
1,26.8,30.54,127.6,3.705,-0.586,-0.311,0.791,0.22
1,26.8,30.54,127.6,3.705,-0.586,-0.311,0.868,0.23
1,26.8,30.54,127.6,3.705,-0.586,-0.311,0.953,0.24
1,26.8,30.54,127.6,3.705,-0.586,-0.311,1.047,0.25
1,26.8,30.54,127.6,3.705,-0.586,-0.311,1.149,0.26
1,26.8,30.54,127.6,3.705,-0.586,-0.311,1.261,0.27
1,26.8,30.54,127.6,3.705,-0.586,-0.311,1.385,0.29
1,26.8,30.54,127.6,3.705,-0.586,-0.311,1.52,0.31
1,26.8,30.54,127.6,3.705,-0.586,-0.311,1.668,0.34
1,26.8,30.54,127.6,3.705,-0.586,-0.311,1.832,0.37
1,26.8,30.54,127.6,3.705,-0.586,-0.311,2.011,0.41
1,26.8,30.54,127.6,3.705,-0.586,-0.311,2.207,0.47
1,26.8,30.54,127.6,3.705,-0.586,-0.311,2.423,0.53
1,26.8,30.54,127.6,3.705,-0.586,-0.311,2.66,0.6
1,26.8,30.54,127.6,3.705,-0.586,-0.311,2.92,0.69
1,26.8,30.54,127.6,3.705,-0.586,-0.311,3.205,0.78
1,26.8,30.54,127.6,3.705,-0.586,-0.311,3.519,0.88
1,26.8,30.54,127.6,3.705,-0.586,-0.311,3.863,0.98
1,26.8,30.54,127.6,3.705,-0.586,-0.311,4.24,1.09
1,26.8,30.54,127.6,3.705,-0.586,-0.311,4.655,1.21
1,26.8,30.54,127.6,3.705,-0.586,-0.311,5.11,1.33
1,26.8,30.54,127.6,3.705,-0.586,-0.311,5.61,1.44
1,26.8,30.54,127.6,3.705,-0.586,-0.311,6.158,1.56
1,26.8,30.54,127.6,3.705,-0.586,-0.311,6.76,1.67
1,26.8,30.54,127.6,3.705,-0.586,-0.311,7.421,1.78
1,26.8,30.54,127.6,3.705,-0.586,-0.311,8.147,1.88
1,26.8,30.54,127.6,3.705,-0.586,-0.311,8.943,1.97
1,26.8,30.54,127.6,3.705,-0.586,-0.311,9.817,2.05
1,26.8,30.54,127.6,3.705,-0.586,-0.311,10.78,2.12
1,26.8,30.54,127.6,3.705,-0.586,-0.311,11.83,2.17
1,26.8,30.54,127.6,3.705,-0.586,-0.311,12.99,2.21
1,26.8,30.54,127.6,3.705,-0.586,-0.311,14.26,2.23
1,26.8,30.54,127.6,3.705,-0.586,-0.311,15.65,2.23
1,26.8,30.54,127.6,3.705,-0.586,-0.311,17.18,2.24
1,26.8,30.54,127.6,3.705,-0.586,-0.311,18.86,2.25
1,26.8,30.54,127.6,3.705,-0.586,-0.311,20.7,2.27
1,26.8,30.54,127.6,3.705,-0.586,-0.311,22.73,2.29
1,26.8,30.54,127.6,3.705,-0.586,-0.311,24.95,2.28
1,26.8,30.54,127.6,3.705,-0.586,-0.311,27.39,2.24
1,26.8,30.54,127.6,3.705,-0.586,-0.311,30.07,2.18
1,26.8,30.54,127.6,3.705,-0.586,-0.311,33.01,2.12
1,26.8,30.54,127.6,3.705,-0.586,-0.311,36.24,2.1
1,26.8,30.54,127.6,3.705,-0.586,-0.311,39.78,2.14
1,26.8,30.54,127.6,3.705,-0.586,-0.311,43.67,2.22
1,26.8,30.54,127.6,3.705,-0.586,-0.311,47.94,2.29
1,26.8,30.54,127.6,3.705,-0.586,-0.311,52.62,2.32
1,26.8,30.54,127.6,3.705,-0.586,-0.311,57.77,2.26
1,26.8,30.54,127.6,3.705,-0.586,-0.311,63.41,2.14
1,26.8,30.54,127.6,3.705,-0.586,-0.311,69.61,2.05
1,26.8,30.54,127.6,3.705,-0.586,-0.311,76.42,2.12
1,26.8,30.54,127.6,3.705,-0.586,-0.311,83.89,2.45
1,26.8,30.54,127.6,3.705,-0.586,-0.311,92.09,3.09
1,26.8,30.54,127.6,3.705,-0.586,-0.311,101.1,3.91
1,26.8,30.54,127.6,3.705,-0.586,-0.311,111,4.56
1,26.8,30.54,127.6,3.705,-0.586,-0.311,121.8,4.66
1,26.8,30.54,127.6,3.705,-0.586,-0.311,133.7,3.97
1,26.8,30.54,127.6,3.705,-0.586,-0.311,146.8,2.5
1,26.8,30.54,127.6,3.705,-0.586,-0.311,161.2,1.05
1,26.8,30.54,127.6,3.705,-0.586,-0.311,176.9,0.21
1,26.8,30.54,127.6,3.705,-0.586,-0.311,194.2,0.018
1,26.8,30.54,127.6,3.705,-0.586,-0.311,213.2,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,234.1,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,256.9,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,282.1,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,309.6,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,339.9,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,373.1,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,409.6,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,449.7,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,493.6,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,541.9,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,594.9,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,653,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,716.8,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,786.9,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,863.9,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,948.3,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,1041,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,1143,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,1255,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,1377,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,1512,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,1660,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,1822,0
1,26.8,30.54,127.6,3.705,-0.586,-0.311,2000,NA
2,29.88,38.61,127.6,3.996,-0.684,-0.345,0.375,0.036
2,29.88,38.61,127.6,3.996,-0.684,-0.345,0.412,0.064
2,29.88,38.61,127.6,3.996,-0.684,-0.345,0.452,0.094
2,29.88,38.61,127.6,3.996,-0.684,-0.345,0.496,0.13
2,29.88,38.61,127.6,3.996,-0.684,-0.345,0.545,0.16
2,29.88,38.61,127.6,3.996,-0.684,-0.345,0.598,0.19
2,29.88,38.61,127.6,3.996,-0.684,-0.345,0.656,0.21
2,29.88,38.61,127.6,3.996,-0.684,-0.345,0.721,0.24
2,29.88,38.61,127.6,3.996,-0.684,-0.345,0.791,0.25
2,29.88,38.61,127.6,3.996,-0.684,-0.345,0.868,0.27
2,29.88,38.61,127.6,3.996,-0.684,-0.345,0.953,0.28
2,29.88,38.61,127.6,3.996,-0.684,-0.345,1.047,0.29
2,29.88,38.61,127.6,3.996,-0.684,-0.345,1.149,0.3
2,29.88,38.61,127.6,3.996,-0.684,-0.345,1.261,0.31
2,29.88,38.61,127.6,3.996,-0.684,-0.345,1.385,0.33
2,29.88,38.61,127.6,3.996,-0.684,-0.345,1.52,0.35
2,29.88,38.61,127.6,3.996,-0.684,-0.345,1.668,0.38
2,29.88,38.61,127.6,3.996,-0.684,-0.345,1.832,0.42
2,29.88,38.61,127.6,3.996,-0.684,-0.345,2.011,0.46
2,29.88,38.61,127.6,3.996,-0.684,-0.345,2.207,0.52
2,29.88,38.61,127.6,3.996,-0.684,-0.345,2.423,0.58
2,29.88,38.61,127.6,3.996,-0.684,-0.345,2.66,0.65
2,29.88,38.61,127.6,3.996,-0.684,-0.345,2.92,0.72
2,29.88,38.61,127.6,3.996,-0.684,-0.345,3.205,0.81
2,29.88,38.61,127.6,3.996,-0.684,-0.345,3.519,0.89
2,29.88,38.61,127.6,3.996,-0.684,-0.345,3.863,0.98
2,29.88,38.61,127.6,3.996,-0.684,-0.345,4.24,1.08
2,29.88,38.61,127.6,3.996,-0.684,-0.345,4.655,1.17
2,29.88,38.61,127.6,3.996,-0.684,-0.345,5.11,1.26
2,29.88,38.61,127.6,3.996,-0.684,-0.345,5.61,1.35
2,29.88,38.61,127.6,3.996,-0.684,-0.345,6.158,1.44
2,29.88,38.61,127.6,3.996,-0.684,-0.345,6.76,1.52
2,29.88,38.61,127.6,3.996,-0.684,-0.345,7.421,1.6
2,29.88,38.61,127.6,3.996,-0.684,-0.345,8.147,1.66
2,29.88,38.61,127.6,3.996,-0.684,-0.345,8.943,1.72
2,29.88,38.61,127.6,3.996,-0.684,-0.345,9.817,1.77
2,29.88,38.61,127.6,3.996,-0.684,-0.345,10.78,1.8
2,29.88,38.61,127.6,3.996,-0.684,-0.345,11.83,1.83
2,29.88,38.61,127.6,3.996,-0.684,-0.345,12.99,1.84
2,29.88,38.61,127.6,3.996,-0.684,-0.345,14.26,1.84
2,29.88,38.61,127.6,3.996,-0.684,-0.345,15.65,1.82
2,29.88,38.61,127.6,3.996,-0.684,-0.345,17.18,1.81
2,29.88,38.61,127.6,3.996,-0.684,-0.345,18.86,1.81
2,29.88,38.61,127.6,3.996,-0.684,-0.345,20.7,1.85
2,29.88,38.61,127.6,3.996,-0.684,-0.345,22.73,1.9
2,29.88,38.61,127.6,3.996,-0.684,-0.345,24.95,1.95
2,29.88,38.61,127.6,3.996,-0.684,-0.345,27.39,1.96
2,29.88,38.61,127.6,3.996,-0.684,-0.345,30.07,1.94
2,29.88,38.61,127.6,3.996,-0.684,-0.345,33.01,1.9
2,29.88,38.61,127.6,3.996,-0.684,-0.345,36.24,1.87
2,29.88,38.61,127.6,3.996,-0.684,-0.345,39.78,1.89
2,29.88,38.61,127.6,3.996,-0.684,-0.345,43.67,1.98
2,29.88,38.61,127.6,3.996,-0.684,-0.345,47.94,2.12
2,29.88,38.61,127.6,3.996,-0.684,-0.345,52.62,2.25
2,29.88,38.61,127.6,3.996,-0.684,-0.345,57.77,2.32
2,29.88,38.61,127.6,3.996,-0.684,-0.345,63.41,2.29
2,29.88,38.61,127.6,3.996,-0.684,-0.345,69.61,2.23
2,29.88,38.61,127.6,3.996,-0.684,-0.345,76.42,2.24
2,29.88,38.61,127.6,3.996,-0.684,-0.345,83.89,2.45
2,29.88,38.61,127.6,3.996,-0.684,-0.345,92.09,3
2,29.88,38.61,127.6,3.996,-0.684,-0.345,101.1,3.86
2,29.88,38.61,127.6,3.996,-0.684,-0.345,111,4.81
2,29.88,38.61,127.6,3.996,-0.684,-0.345,121.8,5.4
2,29.88,38.61,127.6,3.996,-0.684,-0.345,133.7,5.18
2,29.88,38.61,127.6,3.996,-0.684,-0.345,146.8,4.05
2,29.88,38.61,127.6,3.996,-0.684,-0.345,161.2,2.31
2,29.88,38.61,127.6,3.996,-0.684,-0.345,176.9,0.86
2,29.88,38.61,127.6,3.996,-0.684,-0.345,194.2,0.16
2,29.88,38.61,127.6,3.996,-0.684,-0.345,213.2,0.011
2,29.88,38.61,127.6,3.996,-0.684,-0.345,234.1,0
2,29.88,38.61,127.6,3.996,-0.684,-0.345,256.9,0
2,29.88,38.61,127.6,3.996,-0.684,-0.345,282.1,0
2,29.88,38.61,127.6,3.996,-0.684,-0.345,309.6,0
2,29.88,38.61,127.6,3.996,-0.684,-0.345,339.9,0
2,29.88,38.61,127.6,3.996,-0.684,-0.345,373.1,0
2,29.88,38.61,127.6,3.996,-0.684,-0.345,409.6,0
