"PreSens Measurement Studio 2","4.0.0.2373",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit","Cal0_Amplitude","Cal0_Amplitude_Unit","Cal2nd_Amplitude","Cal2nd_Amplitude_Unit"
"09/23/2024","17:02:18","4","Luka","157502399","POF4","0.000","min","243.897","μmol/L","Humid","29.666","deg","277455","µV","12.102","°C","1005.000","hPa","35.0","pmil","0","59.308","deg","18.869","°C","100.000","%a.s.","27.241","deg","18.925","°C","1029.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","1932.31","5","2500.00","49828.34","SADD0002000288","ABF1.0.0.0","4.0.0.2373","PSt3","000000-000","9/17/2024 6:50:29 PM","0000-00","0","no battery","V","427622","µV","187372","µV"
"09/23/2024","17:03:18","4","Luka","157502399","POF4","1.001","min","245.483","μmol/L","Humid","29.594","deg","276547","µV","12.102","°C","1005.000","hPa","35.0","pmil","0","59.308","deg","18.869","°C","100.000","%a.s.","27.241","deg","18.925","°C","1029.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","1932.31","5","2500.00","49828.63","SADD0002000288","ABF1.0.0.0","4.0.0.2373","PSt3","000000-000","9/17/2024 6:50:29 PM","0000-00","0","no battery","V","427622","µV","187372","µV"
"09/23/2024","17:04:18","4","Luka","157502399","POF4","2.000","min","246.688","μmol/L","Humid","29.532","deg","275557","µV","12.121","°C","1005.000","hPa","35.0","pmil","0","59.308","deg","18.869","°C","100.000","%a.s.","27.241","deg","18.925","°C","1029.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","1932.31","5","2500.00","49827.34","SADD0002000288","ABF1.0.0.0","4.0.0.2373","PSt3","000000-000","9/17/2024 6:50:29 PM","0000-00","0","no battery","V","427622","µV","187372","µV"
"09/23/2024","17:05:18","4","Luka","157502399","POF4","3.000","min","248.112","μmol/L","Humid","29.458","deg","274419","µV","12.145","°C","1005.000","hPa","35.0","pmil","0","59.308","deg","18.869","°C","100.000","%a.s.","27.241","deg","18.925","°C","1029.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","1932.31","5","2500.00","49833.60","SADD0002000288","ABF1.0.0.0","4.0.0.2373","PSt3","000000-000","9/17/2024 6:50:29 PM","0000-00","0","no battery","V","427622","µV","187372","µV"
"09/23/2024","17:06:18","4","Luka","157502399","POF4","4.000","min","250.473","μmol/L","Humid","29.394","deg","272897","µV","12.046","°C","1005.000","hPa","35.0","pmil","0","59.308","deg","18.869","°C","100.000","%a.s.","27.241","deg","18.925","°C","1029.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","1932.31","5","2500.00","49840.09","SADD0002000288","ABF1.0.0.0","4.0.0.2373","PSt3","000000-000","9/17/2024 6:50:29 PM","0000-00","0","no battery","V","427622","µV","187372","µV"
"09/23/2024","17:07:18","4","Luka","157502399","POF4","5.000","min","251.608","μmol/L","Humid","29.316","deg","270344","µV","12.114","°C","1005.000","hPa","35.0","pmil","0","59.308","deg","18.869","°C","100.000","%a.s.","27.241","deg","18.925","°C","1029.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","1932.31","5","2500.00","49832.99","SADD0002000288","ABF1.0.0.0","4.0.0.2373","PSt3","000000-000","9/17/2024 6:50:29 PM","0000-00","0","no battery","V","427622","µV","187372","µV"
"09/23/2024","17:08:18","4","Luka","157502399","POF4","6.000","min","254.995","μmol/L","Humid","29.232","deg","267269","µV","11.960","°C","1005.000","hPa","35.0","pmil","0","59.308","deg","18.869","°C","100.000","%a.s.","27.241","deg","18.925","°C","1029.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","1932.31","5","2500.00","49830.75","SADD0002000288","ABF1.0.0.0","4.0.0.2373","PSt3","000000-000","9/17/2024 6:50:29 PM","0000-00","0","no battery","V","427622","µV","187372","µV"
"09/23/2024","17:09:18","4","Luka","157502399","POF4","7.000","min","256.095","μmol/L","Humid","29.149","deg","263122","µV","12.046","°C","1005.000","hPa","35.0","pmil","0","59.308","deg","18.869","°C","100.000","%a.s.","27.241","deg","18.925","°C","1029.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","1932.31","5","2500.00","49837.44","SADD0002000288","ABF1.0.0.0","4.0.0.2373","PSt3","000000-000","9/17/2024 6:50:29 PM","0000-00","0","no battery","V","427622","µV","187372","µV"
"09/23/2024","17:10:18","4","Luka","157502399","POF4","8.000","min","258.267","μmol/L","Humid","29.051","deg","259032","µV","12.059","°C","1005.000","hPa","35.0","pmil","0","59.308","deg","18.869","°C","100.000","%a.s.","27.241","deg","18.925","°C","1029.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","1932.31","5","2500.00","49830.11","SADD0002000288","ABF1.0.0.0","4.0.0.2373","PSt3","000000-000","9/17/2024 6:50:29 PM","0000-00","0","no battery","V","427622","µV","187372","µV"
"09/23/2024","17:11:18","4","Luka","157502399","POF4","9.000","min","260.560","μmol/L","Humid","28.959","deg","256379","µV","12.046","°C","1005.000","hPa","35.0","pmil","0","59.308","deg","18.869","°C","100.000","%a.s.","27.241","deg","18.925","°C","1029.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","1932.31","5","2500.00","49837.17","SADD0002000288","ABF1.0.0.0","4.0.0.2373","PSt3","000000-000","9/17/2024 6:50:29 PM","0000-00","0","no battery","V","427622","µV","187372","µV"
